Temp_C,Date,Hour,AM_PM,Time,Date_Time,Logger_ID,MO,Tide_AMSL_m,Tide_ht,Pipe_position
15.636,2020-07-11,8:01:01,PM,20:01,7/11/2020 20:01,T11,N,1.7,H,Downstream
14.634,2020-07-11,9:01:01,PM,21:01,7/11/2020 21:01,T11,N,1.7,H,Downstream
13.631,2020-07-11,10:01:01,PM,22:01,7/11/2020 22:01,T11,N,1.7,H,Downstream
13.631,2020-07-11,11:01:01,PM,23:01,7/11/2020 23:01,T11,N,1.7,H,Downstream
13.631,2020-07-12,12:01:01,AM,0:01,7/12/2020 0:01,T11,N,1.7,H,Downstream
13.13,2020-07-12,1:01:01,AM,1:01,7/12/2020 1:01,T11,N,1.7,H,Downstream
11.625,2020-07-12,2:01:01,AM,2:01,7/12/2020 2:01,T11,N,1.7,H,Downstream
10.12,2020-07-12,3:01:01,AM,3:01,7/12/2020 3:01,T11,N,1.7,H,Downstream
10.622,2020-07-12,4:01:01,AM,4:01,7/12/2020 4:01,T11,N,1.7,H,Downstream
10.622,2020-07-12,5:01:01,AM,5:01,7/12/2020 5:01,T11,N,1.7,H,Downstream
11.124,2020-07-12,6:01:01,AM,6:01,7/12/2020 6:01,T11,N,1.7,H,Downstream
13.631,2020-07-12,7:01:01,AM,7:01,7/12/2020 7:01,T11,N,1.7,H,Downstream
13.13,2020-07-12,8:01:01,AM,8:01,7/12/2020 8:01,T11,N,1.7,H,Downstream
14.132,2020-07-12,9:01:01,AM,9:01,7/12/2020 9:01,T11,N,1.7,H,Downstream
15.636,2020-07-12,10:01:01,AM,10:01,7/12/2020 10:01,T11,N,1.7,H,Downstream
22.145,2020-07-12,11:01:01,AM,11:01,7/12/2020 11:01,T11,N,1.7,H,Downstream
29.145,2020-07-12,12:01:01,PM,12:01,7/12/2020 12:01,T11,N,1.7,H,Downstream
32.64,2020-07-12,1:01:01,PM,13:01,7/12/2020 13:01,T11,N,1.7,H,Downstream
36.632,2020-07-12,2:01:01,PM,14:01,7/12/2020 14:01,T11,N,1.7,H,Downstream
37.629,2020-07-12,3:01:01,PM,15:01,7/12/2020 15:01,T11,N,1.7,H,Downstream
38.128,2020-07-12,4:01:01,PM,16:01,7/12/2020 16:01,T11,N,1.7,H,Downstream
38.128,2020-07-12,5:01:01,PM,17:01,7/12/2020 17:01,T11,N,1.7,H,Downstream
35.634,2020-07-12,6:01:01,PM,18:01,7/12/2020 18:01,T11,N,1.7,H,Downstream
30.643,2020-07-12,7:01:01,PM,19:01,7/12/2020 19:01,T11,N,1.7,H,Downstream
24.146,2020-07-12,8:01:01,PM,20:01,7/12/2020 20:01,T11,N,1.7,H,Downstream
18.641,2020-07-12,9:01:01,PM,21:01,7/12/2020 21:01,T11,N,1.7,H,Downstream
15.135,2020-07-12,10:01:01,PM,22:01,7/12/2020 22:01,T11,N,1.7,H,Downstream
13.13,2020-07-12,11:01:01,PM,23:01,7/12/2020 23:01,T11,N,1.7,H,Downstream
11.625,2020-07-13,12:01:01,AM,0:01,7/13/2020 0:01,T11,N,1.7,H,Downstream
11.625,2020-07-13,1:01:01,AM,1:01,7/13/2020 1:01,T11,N,1.7,H,Downstream
10.622,2020-07-13,2:01:01,AM,2:01,7/13/2020 2:01,T11,N,1.7,H,Downstream
10.12,2020-07-13,3:01:01,AM,3:01,7/13/2020 3:01,T11,N,1.7,H,Downstream
10.12,2020-07-13,4:01:01,AM,4:01,7/13/2020 4:01,T11,N,1.7,H,Downstream
9.619,2020-07-13,5:01:01,AM,5:01,7/13/2020 5:01,T11,N,1.7,H,Downstream
10.12,2020-07-13,6:01:01,AM,6:01,7/13/2020 6:01,T11,N,1.7,H,Downstream
11.124,2020-07-13,7:01:01,AM,7:01,7/13/2020 7:01,T11,N,1.7,H,Downstream
13.13,2020-07-13,8:01:01,AM,8:01,7/13/2020 8:01,T11,N,1.7,H,Downstream
14.634,2020-07-13,9:01:01,AM,9:01,7/13/2020 9:01,T11,N,1.7,H,Downstream
14.634,2020-07-13,10:01:01,AM,10:01,7/13/2020 10:01,T11,N,1.7,H,Downstream
23.646,2020-07-13,11:01:01,AM,11:01,7/13/2020 11:01,T11,N,1.7,H,Downstream
30.144,2020-07-13,12:01:01,PM,12:01,7/13/2020 12:01,T11,N,1.7,H,Downstream
33.638,2020-07-13,1:01:01,PM,13:01,7/13/2020 13:01,T11,N,1.7,H,Downstream
35.634,2020-07-13,2:01:01,PM,14:01,7/13/2020 14:01,T11,N,1.7,H,Downstream
38.128,2020-07-13,3:01:01,PM,15:01,7/13/2020 15:01,T11,N,1.7,H,Downstream
35.135,2020-07-13,4:01:01,PM,16:01,7/13/2020 16:01,T11,N,1.7,H,Downstream
33.638,2020-07-13,5:01:01,PM,17:01,7/13/2020 17:01,T11,N,1.7,H,Downstream
33.638,2020-07-13,6:01:01,PM,18:01,7/13/2020 18:01,T11,N,1.7,H,Downstream
30.643,2020-07-13,7:01:01,PM,19:01,7/13/2020 19:01,T11,N,1.7,H,Downstream
