Day,Time,Metres,Julian_Day,Maxima
7/1/2018,1348,0.7,182,LL
7/1/2018,2055,3.8,182,HH
7/2/2018,244,2.6,183,L
7/2/2018,649,3,183,H
7/2/2018,1421,0.8,183,LL
7/2/2018,2128,3.7,183,HH
7/3/2018,336,2.4,184,L
7/3/2018,740,2.9,184,H
7/3/2018,1455,1,184,LL
7/3/2018,2159,3.7,184,HH
7/4/2018,429,2.2,185,L
7/4/2018,843,2.7,185,H
7/4/2018,1531,1.2,185,LL
7/4/2018,2230,3.7,185,HH
7/5/2018,522,2,186,L
7/5/2018,1002,2.6,186,H
7/5/2018,1613,1.5,186,LL
7/5/2018,2302,3.7,186,HH
7/6/2018,613,1.8,187,L
7/6/2018,1133,2.6,187,H
7/6/2018,1704,1.8,187,LL
7/6/2018,2337,3.7,187,HH
7/7/2018,703,1.5,188,LL
7/7/2018,1309,2.7,188,H
7/7/2018,1805,2.1,188,L
7/8/2018,14,3.7,189,HH
7/8/2018,752,1.2,189,LL
7/8/2018,1435,3,189,H
7/8/2018,1914,2.4,189,L
7/9/2018,55,3.7,190,HH
7/9/2018,842,0.9,190,L
7/9/2018,1544,3.3,190,H
7/9/2018,2024,2.6,190,L
7/10/2018,139,3.7,191,HH
7/10/2018,932,0.6,191,LL
7/10/2018,1640,3.5,191,H
7/10/2018,2130,2.7,191,L
7/11/2018,227,3.8,192,HH
7/11/2018,1023,0.3,192,LL
7/11/2018,1729,3.7,192,H
7/11/2018,2230,2.8,192,L
7/12/2018,318,3.8,193,HH
7/12/2018,1113,0.2,193,LL
7/12/2018,1815,3.8,193,H
7/12/2018,2327,2.8,193,L
7/13/2018,412,3.8,194,H
7/13/2018,1202,0.1,194,LL
7/13/2018,1858,3.9,194,HH
7/14/2018,24,2.7,195,L
7/14/2018,507,3.7,195,H
7/14/2018,1249,0.1,195,LL
7/14/2018,1941,4,195,HH
7/15/2018,122,2.5,196,L
7/15/2018,604,3.6,196,H
7/15/2018,1335,0.2,196,LL
7/15/2018,2024,4,196,HH
7/16/2018,222,2.3,197,L
7/16/2018,705,3.4,197,H
7/16/2018,1420,0.4,197,LL
7/16/2018,2106,4,197,HH
7/17/2018,323,2.1,198,L
7/17/2018,811,3.1,198,H
7/17/2018,1504,0.8,198,LL
7/17/2018,2148,4,198,HH
7/18/2018,424,1.8,199,L
7/18/2018,927,2.9,199,H
7/18/2018,1550,1.2,199,LL
7/18/2018,2229,3.9,199,HH
7/19/2018,525,1.5,200,LL
7/19/2018,1057,2.8,200,H
7/19/2018,1640,1.7,200,L
7/19/2018,2309,3.8,200,HH
7/20/2018,624,1.3,201,LL
7/20/2018,1236,2.8,201,H
7/20/2018,1738,2.1,201,L
7/20/2018,2349,3.6,201,HH
7/21/2018,721,1.1,202,LL
7/21/2018,1411,3,202,H
7/21/2018,1849,2.5,202,L
7/22/2018,29,3.5,203,HH
7/22/2018,815,0.9,203,LL
7/22/2018,1527,3.2,203,H
7/22/2018,2007,2.7,203,L
